obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
176, 182.9, 63661, 7084, 4483, 23814, 2120, 2335, 1406, 1039, 44, 87, NA, 105942,  X
177, 183.9, 29168, 68608, 19756, 13841, 4345, 5038, 1480, 1652, 43, 94, NA, 143888,  X
178, 185.0, 308964, 12511, 19758, 1960, 2472, 4498, 835, 559, 47, 87, NA, 351557,  X
179, 185.9, 45378, 26844, 44322, 18988, 7861, 3807, 2870, 1608, 40, 91, NA, 151678,  X
180, 187.0, 92662, 21983, 8674, 16821, 4741, 9882, 2145, 1595, 54, 78, NA, 158503,  X
181, 188.0, 58374, 19469, 19250, 10967, 15076, 1471, 1231, 629, 48, 84, NA, 126467,  X
182, 188.9, 62605, 22452, 2866, 2476, 1955, 2062, 397, 194, 43, 66, NA, 95007,  X
183, 189.9, 1124200, 1035408, 97488, 85928, 121438, 92225, 3714, 6109, 51, 38, NA, 2566510,  X
184, 190.9, 116176, 91880, 11260, 41116, 45766, 10957, 8890, 3465, 38, 29, NA, 329510,  X
185, 191.9, 54192, 33344, 40322, 3839, 19389, 8307, 3100, 2950, 54, 27, NA, 165443,  X
186, 192.9, 57336, 22675, 27860, 9915, 12340, 11790, 3936, 3216, 66, 43, NA, 149068,  X
187, 193.9, 103127, 20299, 7383, 1276, 3971, 2943, 839, 251, 69, 51, NA, 140089,  X
188, 194.9, 573679, 147648, 40507, 83390, 65666, 20494, 7951, 4676, 69, 57, NA, 944011,  X
189, 195.9, 236429, 228390, 25529, 9593, 19938, 5618, 4022, 1368, 47, 40, NA, 530887,  X
190, 197.0, 26653, 18836, 75838, 8358, 17868, 6444, 2119, 1401, 30, 50, NA, 157517,  X
191, 197.9, 2124744, 183394, 66463, 46199, 25520, 19507, 5401, 2185, 26, 54, NA, 2473413,  X
192, 198.9, 399276, 49979, 23720, 33857, 29516, 10753, 4791, 2311, 29, 56, NA, 554203,  X
193, 199.9, 331578, 501403, 31422, 52577, 52847, 17552, 2481, 5779, 37, 57, NA, 995639,  X
194, 200.9, 73038, 75364, 74503, 31752, 12026, 9070, 6645, 2467, 34, 50, NA, 284865,  X
195, 201.9, 965446, 282474, 57736, 36931, 8274, 21648, 4627, 4133, 30, 44, NA, 1381269,  X
196, 203.0, 83892, 63101, 26020, 5463, 8670, 14857, 2341, 1878, 38, 38, NA, 206222,  X
