obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
170, 173.0, 392385, 142010, 26036, 24601, 14032, 12498, 13162, 7201, 54, 77, NA, 631925,  X*
171, 174.0, 499215, 119784, 18367, 37345, 27408, 23400, 17016, 9530, 64, 53, NA, 752065,  X*
172, 175.0, 68658, 15153, 3819, 7458, 3617, 2911, 3183, 1459, 60, 51, NA, 106258,  X*
173, 176.0, 51441, 65485, 27400, 5486, 14525, 32548, 15395, 3958, 66, 41, NA, 216238,  X*
174, 177.0, 705856, 111375, 64977, 66644, 19895, 13488, 5679, 7791, 63, 54, NA, 995705,  X*
175, 178.0, 439344, 108495, 34255, 71420, 15862, 16533, 7113, 9244, 56, 61, NA, 702266,  X*
176, 179.0, 252364, 18759, 12814, 6354, 3753, 4383, 4607, 2514, 56, 64, NA, 305548,  X*
177, 180.0, 2480608, 157157, 87242, 63608, 16286, 20421, 10393, 26921, 37, 75, NA, 2862636,  X*
178, 181.0, 30818, 7298, 44872, 10168, 20147, 15652, 21544, 14500, 54, 77, NA, 164999,  X
179, 182.0, 365606, 151465, 57790, 19115, 39877, 42688, 21215, 39879, 66, 69, NA, 737635,  X
180, 183.0, 640239, 159928, 52136, 71708, 48248, 25287, 28202, 25137, 63, 66, NA, 1050885,  X
181, 184.0, 251776, 7742, 13027, 8630, 7334, 2990, 2479, 1250, 67, 69, NA, 295228,  X
182, 185.0, 98527, 18283, 2971, 10893, 4272, 2751, 4019, 1624, 54, 61, NA, 143340,  X
183, 186.0, 30764, 26808, 27788, 12057, 4308, 13960, 8982, 4598, 54, 70, NA, 129265,  X
184, 187.0, 1034182, 93472, 29318, 63079, 37108, 13079, 12841, 6975, 51, 74, NA, 1290054,  X
185, 188.0, 37610, 19758, 86601, 16252, 13613, 15114, 7923, 6001, 53, 78, NA, 202872,  X
186, 189.0, 79981, 47158, 75146, 8411, 21490, 26647, 9307, 9104, 66, 83, NA, 277244,  X
187, 190.0, 30761, 44528, 14063, 55183, 8259, 10817, 8848, 4274, 56, 87, NA, 176733,  X
188, 191.1, 205113, 44383, 82515, 68317, 11813, 28799, 7827, 8614, 67, 96, NA, 457381,  X
189, 192.0, 90423, 60268, 29452, 6771, 26290, 19573, 10202, 6446, 75, 78, NA, 249425,  X
190, 193.0, 48003, 17330, 25066, 22858, 32236, 19518, 10685, 3186, 80, 75, NA, 178882,  X
191, 194.0, 206721, 14397, 4016, 2628, 7427, 2944, 1403, 1313, 83, 60, NA, 240849,  X
192, 195.0, 46274, 58147, 40179, 32955, 15542, 9602, 13730, 3687, 74, 53, NA, 220116,  X
193, 196.0, 306575, 46623, 8906, 40061, 25672, 8720, 5657, 6063, 63, 57, NA, 448277,  X
194, 197.0, 1484364, 380780, 55380, 40170, 21372, 20390, 8853, 9667, 38, 48, NA, 2020976,  X
195, 198.0, 226163, 102631, 12853, 12434, 10318, 21613, 8663, 5493, 40, 44, NA, 400168,  X
196, 199.0, 23599, 6233, 22400, 15976, 20005, 10030, 13132, 17186, 54, 47, NA, 128561,  X
197, 200.0, 2806295, 400529, 162778, 54476, 15528, 22378, 13413, 4172, 41, 44, NA, 3479569,  X
198, 201.0, 44936, 28905, 52067, 14832, 15791, 10632, 20404, 8539, 54, 63, NA, 196106,  X
199, 202.0, 23512, 42734, 13732, 21576, 28172, 13116, 4006, 6023, 54, 70, NA, 152871,  X
200, 203.0, 183721, 77142, 28479, 62073, 33976, 28416, 54134, 35796, 50, 66, NA, 503737,  X
201, 204.0, 75582, 13316, 13374, 4323, 1212, 1730, 973, 736, 56, 74, NA, 111246,  X
202, 205.0, 661569, 27240, 37766, 25188, 16201, 44872, 24725, 14437, 74, 67, NA, 851998,  X
203, 206.0, 156837, 33601, 15555, 7067, 9366, 3117, 2090, 860, 60, 69, NA, 228493,  X
204, 207.0, 418989, 439237, 55314, 41612, 13369, 15214, 7535, 4910, 38, 57, NA, 996180,  X
205, 208.0, 812879, 20576, 21820, 11713, 17409, 9435, 6830, 4203, 53, 54, NA, 904865,  X
206, 209.0, 31618, 22129, 12576, 50980, 17371, 32870, 21778, 7366, 51, 56, NA, 196688,  X
207, 210.0, 183875, 49192, 4569, 2841, 5312, 3991, 2298, 10536, 54, 41, NA, 262614,  X
208, 211.0, 32467, 26950, 5112, 12107, 5095, 17944, 15997, 9808, 90, 48, NA, 125480,  X
209, 212.0, 707485, 304086, 3446, 24848, 21872, 20501, 9075, 4818, 77, 24, NA, 1096131,  X
210, 213.0, 97501, 38985, 39375, 11123, 24363, 12161, 4416, 3524, 63, 21, NA, 231448,  X
211, 214.0, 105678, 25204, 51071, 13539, 15730, 12665, 13687, 8175, 70, 44, NA, 245749,  X
212, 215.0, 78255, 39583, 47020, 46086, 15750, 12618, 8717, 7510, 51, 57, NA, 255539,  X
213, 216.0, 61511, 10484, 22693, 16883, 12683, 13058, 5474, 4954, 69, 84, NA, 147740,  X
214, 217.0, 1368017, 173044, 2981, 39304, 80292, 11611, 30135, 18542, 56, 69, NA, 1723926,  X
215, 218.0, 628924, 65339, 15017, 59820, 25787, 26532, 20280, 9619, 60, 63, NA, 851318,  X
216, 219.0, 164419, 27091, 16554, 3871, 1227, 4782, 4262, 3233, 61, 54, NA, 225439,  X
217, 220.0, 472755, 364995, 47940, 11081, 44317, 20709, 34409, 11103, 41, 34, NA, 1007309,  X
218, 221.0, 306762, 24355, 27548, 7530, 3692, 3130, 924, 3434, 41, 53, NA, 377375,  X
219, 222.0, 30712, 8882, 55545, 16343, 6862, 14094, 14078, 11934, 41, 66, NA, 158450,  X
220, 223.0, 79362, 26744, 59748, 18944, 26709, 22840, 7511, 13228, 51, 70, NA, 255086,  X
221, 224.0, 38983, 35302, 47526, 20395, 17449, 21633, 9751, 5640, 69, 91, NA, 196679,  X
222, 225.0, 62044, 10049, 17315, 3993, 3567, 3143, 2688, 1768, 77, 93, NA, 104567,  X
223, 226.0, 543321, 52298, 11421, 4647, 3529, 9461, 2388, 948, 74, 69, NA, 628013,  X
224, 227.0, 70412, 9945, 12657, 28169, 14452, 30012, 6185, 4163, 83, 66, NA, 175995,  X
225, 228.0, 111568, 21782, 11908, 1916, 1741, 2915, 4208, 1936, 70, 61, NA, 157974,  X
226, 229.0, 162193, 48502, 26434, 14699, 26799, 8486, 2653, 9690, 70, 53, NA, 299456,  X
227, 230.0, 224502, 63112, 38266, 30454, 14544, 6289, 7019, 3643, 56, 64, NA, 387829,  X
228, 231.0, 29459, 38853, 55874, 23323, 5331, 11237, 7445, 4868, 34, 70, NA, 176390,  X
229, 232.0, 22565, 23960, 50995, 6182, 56025, 9981, 6276, 5879, 38, 74, NA, 181863,  X
230, 233.0, 554107, 24119, 874, 12467, 8201, 3558, 4481, 1982, 37, 70, NA, 609789,  X
231, 234.0, 47277, 8864, 49048, 18438, 21233, 22504, 6535, 4987, 57, 77, NA, 178886,  X
232, 235.0, 207998, 58531, 21311, 43973, 14267, 12493, 9885, 7939, 60, 69, NA, 376397,  X
233, 236.0, 416478, 130731, 23481, 56979, 49617, 13113, 7971, 3521, 51, 66, NA, 701891,  X
234, 237.2, 587807, 88759, 29242, 21742, 35159, 12483, 7523, 4510, 51, 64, NA, 787225,  X
235, 238.0, 565282, 164466, 42490, 83946, 23478, 33712, 8720, 14260, 41, 56, NA, 936354,  X
236, 239.0, 152584, 174090, 19013, 67536, 23974, 26312, 9537, 6769, 41, 50, NA, 479815,  X
237, 240.0, 152384, 71574, 15615, 22841, 18187, 8841, 11242, 5875, 44, 48, NA, 306559,  X
238, 241.0, 1282452, 119023, 31230, 27174, 25099, 15353, 11777, 5167, 44, 48, NA, 1517275,  X
239, 242.0, 483565, 62651, 14248, 35786, 34339, 17023, 8864, 4701, 48, 47, NA, 661177,  X
240, 243.0, 47185, 20791, 7878, 4287, 856, 2830, 3659, 2032, 44, 50, NA, 89518,  X
241, 244.0, 1814109, 99632, 54867, 23204, 62147, 39627, 31492, 19889, 57, 50, NA, 2144967,  X
242, 245.0, 2085028, 26366, 31938, 19495, 32192, 27925, 41203, 37234, 75, 53, NA, 2301381,  X
243, 246.1, 2051871, 379594, 43135, 104435, 32793, 16512, 37834, 39915, 54, 51, NA, 2706089,  X
