obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
177, 190.0, 51756, 11590, 17485, 12253, 11681, 5747, 4289, 1437, 77, 53, NA, 116238,  1
178, 191.0, 7521, 4067, 14707, 2350, 5072, 6376, 3229, 3113, 90, 69, NA, 46435,  1
179, 192.0, 10372, 15687, 5751, 2289, 5334, 2966, 4873, 1650, 97, 67, NA, 48922,  1
180, 193.0, 5193, 11058, 1350, 1503, 2141, 5747, 3581, 1768, 97, 51, NA, 32341,  1
181, 194.0, 7046, 3299, 4157, 4465, 8630, 8711, 2070, 3417, 100, 41, NA, 41795,  1
182, 195.0, 11108, 17028, 5601, 12523, 13633, 1792, 2100, 2360, 96, 34, NA, 66145,  1
183, 196.0, 37548, 12162, 13791, 3902, 3586, 5402, 2375, 2165, 97, 43, NA, 80931,  1
184, 197.0, 25621, 14515, 3759, 2456, 1905, 4207, 4894, 2182, 93, 51, NA, 59539,  1
185, 198.0, 22465, 13674, 9865, 8578, 4016, 8189, 2394, 1738, 84, 57, NA, 70919,  1
186, 199.0, 38454, 27172, 9523, 15621, 3606, 5236, 914, 1104, 90, 61, NA, 101630,  1
187, 200.0, 11656, 28875, 7822, 5471, 5484, 4164, 1995, 2319, 84, 50, NA, 67786,  1
188, 201.0, 18467, 23632, 1236, 5858, 6368, 7725, 1881, 3063, 87, 44, NA, 68230,  1
189, 202.0, 81285, 15685, 3580, 2117, 3543, 735, 570, 463, 70, 34, NA, 107978,  1
190, 203.0, 8951, 14978, 3608, 8867, 3424, 3160, 4397, 1831, 74, 30, NA, 49216,  1
191, 204.0, 4061, 23722, 2569, 6964, 2635, 4792, 1057, 1264, 75, 30, NA, 47064,  1
192, 205.0, 7352, 5156, 951, 2138, 3320, 4560, 2091, 2654, 80, 35, NA, 28222,  1
193, 206.0, 12169, 6689, 5129, 4586, 2026, 2393, 2675, 3263, 90, 48, NA, 38930,  1
194, 207.0, 10869, 9163, 6412, 3054, 2045, 3067, 5068, 1825, 91, 50, NA, 41503,  1
195, 208.0, 14550, 25826, 3532, 6207, 1663, 6891, 3967, 1243, 93, 48, NA, 63879,  1
196, 209.0, 7060, 15953, 2256, 2122, 2569, 3312, 1552, 2546, 84, 47, NA, 37370,  1
197, 210.0, 11868, 5009, 6418, 1934, 3937, 5537, 3291, 2787, 93, 41, NA, 40781,  1
198, 211.0, 14619, 24857, 5954, 3393, 1304, 4350, 2990, 1249, 91, 34, NA, 58716,  1
199, 212.0, 21828, 1315, 1015, 4237, 3965, 3367, 3702, 1748, 100, 41, NA, 41177,  1
200, 213.0, 27171, 34627, 3614, 5833, 3302, 3364, 3854, 5099, 94, 43, NA, 86864,  1
201, 214.0, 147559, 3979, 5147, 5356, 2259, 972, 663, 485, 81, 51, NA, 166420,  1
202, 215.0, 10594, 12551, 5454, 3706, 4959, 2667, 5344, 1527, 81, 56, NA, 46802,  1
203, 216.0, 114208, 30865, 1406, 1490, 8317, 4660, 3424, 2340, 70, 34, NA, 166710,  1
204, 217.0, 12439, 3578, 3470, 8424, 4095, 4447, 3114, 3279, 80, 50, NA, 42846,  1
205, 218.0, 3238, 44327, 7248, 6559, 4311, 4172, 3235, 1068, 81, 30, NA, 74158,  1
206, 219.0, 50681, 43595, 21783, 16034, 7631, 4201, 2140, 7472, 75, 35, NA, 153537,  1
207, 220.0, 9125, 6111, 2988, 5578, 9075, 4222, 5287, 3134, 81, 56, NA, 45520,  1
208, 221.0, 9690, 15845, 5312, 3167, 4408, 4898, 2101, 2109, 80, 44, NA, 47530,  1
209, 222.0, 29110, 40590, 11628, 8515, 16618, 3723, 2218, 1584, 78, 47, NA, 113986,  1
210, 223.0, 21525, 6741, 3477, 5191, 6832, 5185, 2891, 2649, 91, 41, NA, 54491,  1
211, 224.0, 112164, 2179, 1327, 2209, 663, 1577, 345, 450, 91, 48, NA, 120914,  1
212, 225.0, 230460, 53618, 7568, 10661, 4539, 3385, 3201, 1366, 80, 44, NA, 314798,  1
213, 226.0, 12701, 26938, 3368, 2071, 3688, 2740, 2944, 2031, 81, 37, NA, 56481,  1
214, 227.0, 19149, 16630, 11834, 3671, 6892, 2441, 3018, 1819, 70, 40, NA, 65454,  1
215, 228.0, 4914, 5454, 4765, 3983, 3832, 3475, 4715, 3113, 69, 40, NA, 34251,  1
216, 229.0, 78632, 50755, 20909, 8482, 13138, 5011, 3281, 4540, 70, 43, NA, 184748,  1
217, 230.0, 15516, 64218, 30817, 10933, 4947, 4643, 2421, 1918, 67, 57, NA, 135413,  1
218, 231.0, 39635, 36277, 14138, 9303, 4817, 4258, 4353, 2135, 66, 54, NA, 114916,  1
219, 232.0, 5964, 17388, 8790, 2644, 3468, 3976, 1812, 1460, 61, 50, NA, 45502,  1
220, 233.0, 83495, 22492, 12122, 2364, 1160, 966, 1392, 383, 54, 54, NA, 124374,  1
221, 234.0, 43982, 6474, 1500, 1310, 1234, 854, 1056, 506, 60, 48, NA, 56916,  1
222, 235.0, 6368, 4928, 3846, 2103, 5621, 3468, 1669, 3376, 69, 44, NA, 31379,  1
223, 236.0, 6325, 18603, 13700, 1912, 2995, 3167, 5574, 1727, 66, 50, NA, 54003,  1
224, 237.0, 84864, 42944, 5430, 929, 1782, 1170, 695, 517, 66, 34, NA, 138331,  1
225, 238.0, 8521, 11880, 3086, 4175, 1740, 2236, 2626, 4294, 67, 38, NA, 38558,  1
226, 239.0, 51386, 15107, 8945, 7266, 3210, 2167, 2369, 3424, 56, 44, NA, 93874,  1
227, 240.0, 33358, 17741, 1208, 2186, 9210, 2835, 2757, 1832, 60, 26, NA, 71127,  1
228, 241.0, 109903, 56220, 4171, 17591, 10384, 3057, 4502, 2321, 63, 35, NA, 208149,  1
229, 242.0, 86712, 91661, 4498, 15438, 9834, 7180, 3416, 1890, 60, 23, NA, 220629,  1
230, 243.0, 74631, 29563, 15922, 3783, 4285, 5717, 5789, 2265, 63, 20, NA, 141955,  1
231, 244.0, 31419, 4090, 4853, 2852, 2933, 3531, 3147, 2148, 69, 40, NA, 54973,  1
232, 245.0, 2532, 9786, 1992, 4554, 6193, 3292, 9266, 4524, 81, 41, NA, 42139,  1
233, 246.0, 45021, 79156, 11683, 11682, 10465, 8654, 4545, 2370, 83, 44, NA, 173576,  1
234, 247.0, 15750, 25502, 14806, 7766, 10851, 6371, 5621, 4644, 84, 44, NA, 91311,  1
235, 248.0, 39559, 11655, 7798, 6847, 1224, 2755, 1527, 1919, 77, 48, NA, 73284,  1
236, 249.0, 12862, 2673, 9116, 955, 3269, 4980, 3136, 1112, 81, 60, NA, 38103,  1
237, 250.0, 99630, 16186, 4044, 2432, 9101, 5074, 6377, 2007, 88, 56, NA, 144851,  1
238, 251.0, 17975, 22862, 10777, 3113, 8970, 2595, 4583, 2654, 84, 53, NA, 73529,  1
239, 252.0, 72870, 8736, 586, 3321, 2471, 1439, 326, 1256, 84, 41, NA, 91005,  1
240, 253.0, 10316, 32807, 3525, 24436, 7902, 6321, 4450, 3410, 75, 37, NA, 93167,  1
241, 254.0, 17503, 25818, 9178, 15112, 6177, 3227, 2136, 2161, 66, 50, NA, 81312,  1
242, 255.0, 90820, 49540, 26336, 15105, 11588, 5069, 2142, 4804, 63, 53, NA, 205404,  1
243, 256.0, 27506, 12117, 13054, 5975, 2631, 5054, 8241, 851, 64, 66, NA, 75429,  1
244, 257.0, 37544, 37919, 24483, 9579, 5570, 2600, 1395, 1683, 57, 69, NA, 120773,  1
245, 258.0, 28653, 33375, 10934, 7810, 5909, 2281, 1990, 3753, 54, 64, NA, 94705,  1
