obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
267; 272.9;265729;47626;6335;3294;5691;2485;813;917;67;47; NA;332890;1
268; 274.0;202159;88346;5139;10888;7394;2610;1078;616;63;34; NA;318230;1
269; 274.9;34929;52921;28077;13988;15010;11472;8231;4915;56;38; NA;169543;1
270; 275.9;30962;37823;15549;9026;2403;8548;8885;3233;63;51; NA;116429;1
271; 276.9;171209;32122;6250;2084;3506;2088;964;1039;64;54; NA;219262;1
272; 278.0;287474;59380;10824;4689;6387;4876;2364;3003;74;57; NA;378997;1
273; 278.9;119257;35626;7047;5900;2203;2031;402;573;64;53; NA;173039;1
274; 279.9;71005;19139;2504;4598;10846;5969;4106;2866;67;43; NA;121033;1
275; 280.9;18105;21367;11184;4706;1978;5755;1465;2996;77;51; NA;67556;1
276; 281.9;27168;18097;11012;5391;2008;2608;6433;1684;78;64; NA;74401;1
277; 282.9;14451;15907;3887;4318;2835;1929;1545;1949;84;67; NA;46821;1
278; 283.9;62442;15994;13466;4458;1460;1978;517;568;70;83; NA;100883;1
279; 285.0;152491;39031;22972;3112;2172;1306;276;453;54;83; NA;221813;1
280; 285.9;12854;8739;15789;8415;1664;3850;3063;5951;57;91; NA;60325;1
281; 286.9;12710;17734;22539;22256;6189;4059;2378;2024;54;100; NA;89889;1
282; 288.0;198042;95488;19939;18042;22167;17982;1662;2532;63;90; NA;375854;1
283; 288.9;46917;18354;4915;10746;8552;6779;1740;2461;83;87; NA;100464;1
284; 290.0;143584;113376;23588;19253;6027;9375;9575;4079;77;69; NA;328857;1
285; 290.9;8193;10709;4751;4221;3184;4876;2000;3714;90;56; NA;41648;1
286; 292.0;168971;233968;49478;7704;16503;10178;4149;5386;78;54; NA;496337;1
287; 292.9;45316;50234;8798;2982;5945;5166;4541;2698;69;47; NA;125680;1
288; 293.9;20252;22655;10484;2340;1584;3680;1630;2064;75;50; NA;64689;1
289; 294.9;156563;47179;39032;17356;11345;5076;2204;2507;60;56; NA;281262;1
290; 296.0;30375;17291;1740;11570;8185;3384;3799;2095;69;63; NA;78439;1
291; 296.9;912622;271725;57991;16048;37041;11244;4371;3864;61;64; NA;1314906;1
292; 297.9;543222;240666;53032;5080;3900;8180;1763;2532;50;57; NA;858375;1
293; 299.0;193464;48505;8299;8799;13416;9360;2282;3477;60;44; NA;287602;1
294; 299.9;81775;34904;2114;959;1362;2244;1817;810;53;27; NA;125985;1
295; 300.9;543285;27237;21588;23681;3328;6825;3902;4365;63;44; NA;634211;1
296; 301.9;10496;22254;1890;6604;4657;2497;1437;1950;74;48; NA;51785;1
297; 303.0;119064;32693;2495;8600;2719;4881;1631;3953;70;48; NA;176036;1
298; 303.9;134362;53290;11933;9715;10956;6014;5094;2442;74;61; NA;233806;1
299; 304.9;137977;87676;17672;9888;9531;2465;850;987;60;47; NA;267046;1
300; 306.0;155502;37284;3969;21156;24455;17211;4748;6602;70;48; NA;270927;1
301; 306.9;561463;127661;37627;17439;9788;13047;8629;2747;66;50; NA;778401;1
302; 307.9;49819;15931;12284;6489;2740;3825;3759;7079;69;61; NA;101926;1
303; 308.9;272614;80933;18039;3785;4983;4063;2410;979;75;61; NA;387806;1
304; 310.0;1023911;323062;18805;9217;16798;14832;3882;3291;60;47; NA;1413798;1
305; 310.9;37819;28997;18454;11108;3741;2604;851;1215;56;56; NA;104789;1
306; 311.9;32420;43404;24324;9479;9645;4064;3155;3383;50;51; NA;129874;1
307; 312.9;74203;8250;3389;3828;4324;3173;6379;1952;63;57; NA;105498;1
308; 313.9;29637;9024;10776;4603;24022;13395;2490;1720;84;74; NA;95667;1
309; 314.9;1681240;237391;49381;14786;7388;3596;7830;3417;70;61; NA;2005029;1
310; 315.9;32034;47806;3469;7028;1652;3381;1221;1904;70;50; NA;98495;1
311; 316.9;168532;23218;409;2576;7255;11021;5158;1606;78;29; NA;219775;1
