obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
193, 202.1, 190866, 16030, 33103, 10185, 26923, 12364, 3533, 1599, 100, 74, NA, 294603,  X
194, 203.0, 14030, 7145, 11737, 6489, 9777, 18274, 5235, 2764, 100, 87, NA, 75451,  X
195, 204.0, 3530, 13364, 10703, 16907, 9827, 5183, 1864, 1315, 93, 93, NA, 62693,  X
196, 205.0, 10961, 15233, 45537, 1840, 11770, 13041, 7915, 1673, 96, 90, NA, 107970,  X
197, 206.0, 11452, 9571, 13272, 4210, 14041, 8396, 2693, 1648, 96, 84, NA, 65283,  X
198, 207.0, 14036, 14748, 10225, 27052, 17052, 10574, 2553, 1136, 84, 91, NA, 97376,  X
199, 208.0, 12252, 28881, 14827, 11034, 25015, 28370, 3992, 2360, 97, 78, NA, 126731,  X
200, 209.0, 31072, 27453, 18375, 18326, 14680, 7026, 3480, 1852, 91, 74, NA, 122264,  X
201, 210.0, 2765, 10721, 38344, 1924, 8485, 9098, 2290, 3028, 87, 83, NA, 76655,  X
202, 211.0, 27694, 7307, 7998, 10195, 17513, 4835, 4368, 1525, 84, 78, NA, 81435,  X
203, 212.0, 8236, 63583, 28429, 2615, 11448, 23027, 3418, 3449, 78, 80, NA, 144205,  X
204, 213.0, 3156, 21963, 24477, 17525, 9276, 14988, 4271, 1113, 87, 83, NA, 96769,  X
205, 214.0, 37761, 27082, 10048, 3280, 11069, 9932, 5120, 1625, 90, 66, NA, 105917,  X
206, 215.0, 23495, 17301, 37024, 14591, 27024, 4505, 4352, 2392, 78, 74, NA, 130684,  X
207, 216.0, 12455, 20190, 19967, 9957, 6866, 9704, 2997, 3376, 77, 83, NA, 85512,  X
208, 217.0, 18055, 14436, 48656, 4669, 16607, 8803, 2832, 511, 69, 87, NA, 114569,  X
209, 218.0, 18242, 8301, 24121, 3813, 6135, 12872, 4058, 1874, 74, 100, NA, 79416,  X
210, 219.0, 4116, 35541, 10776, 10171, 12583, 8813, 12220, 3419, 83, 90, NA, 97639,  X
211, 220.0, 33474, 3034, 12707, 8278, 14056, 6676, 4338, 2309, 87, 90, NA, 84872,  X
212, 221.0, 4278, 22205, 55899, 18850, 12620, 5088, 2718, 1605, 78, 93, NA, 123263,  X
213, 222.0, 7030, 10555, 13401, 5050, 31185, 3624, 2436, 2678, 67, 84, NA, 75959,  X
214, 223.0, 12504, 13904, 16939, 11027, 16122, 10210, 3250, 1930, 70, 91, NA, 85886,  X
215, 224.0, 17039, 8001, 34078, 4487, 8159, 5096, 2600, 2655, 61, 97, NA, 82115,  X
216, 225.0, 17683, 12372, 30957, 3096, 25224, 6755, 2917, 1325, 70, 90, NA, 100329,  X
217, 226.0, 3221, 8373, 22640, 11691, 5847, 5395, 4727, 1825, 70, 100, NA, 63719,  X
218, 227.0, 24918, 19979, 38785, 1451, 16664, 9493, 8740, 2971, 67, 100, NA, 123001,  X
219, 228.0, 10141, 37719, 25213, 5824, 5554, 6958, 2809, 3375, 67, 96, NA, 97593,  X
220, 229.0, 5462, 27278, 26655, 6119, 15898, 7063, 2882, 1411, 64, 93, NA, 92768,  X
221, 230.0, 5229, 18863, 50222, 2331, 6619, 8411, 3140, 3339, 64, 90, NA, 98154,  X
222, 231.0, 18963, 9156, 11468, 22865, 20709, 6134, 3729, 2963, 63, 90, NA, 95987,  X
223, 232.0, 20308, 18474, 17972, 14250, 24324, 12624, 1757, 1481, 74, 88, NA, 111190,  X
224, 233.0, 28714, 37154, 29908, 11283, 8013, 5612, 1612, 2890, 67, 90, NA, 125186,  X
225, 234.0, 34662, 27147, 42641, 8697, 48212, 16600, 3106, 3513, 74, 80, NA, 184578,  X
226, 235.0, 8512, 4647, 41458, 4952, 14723, 12852, 1489, 3062, 80, 83, NA, 91695,  X
227, 236.0, 29021, 31898, 10073, 5501, 7189, 9857, 11284, 6211, 78, 78, NA, 111034,  X
228, 237.0, 21065, 26179, 23508, 9703, 25066, 17280, 8412, 15904, 93, 74, NA, 147117,  X
229, 238.0, 14119, 21246, 54061, 33448, 53678, 5859, 2166, 1922, 78, 80, NA, 186499,  X
230, 239.0, 6634, 22400, 43591, 1671, 39833, 17247, 2305, 1897, 78, 70, NA, 135578,  X
231, 240.0, 5353, 19542, 10427, 13378, 9957, 15203, 8867, 2174, 83, 77, NA, 84901,  X
232, 241.0, 5763, 22039, 57808, 36652, 9801, 10827, 3873, 2206, 70, 93, NA, 148969,  X
233, 242.0, 233590, 169629, 18655, 12919, 26053, 10449, 3278, 2897, 70, 70, NA, 477470,  X
234, 243.0, 485180, 15949, 27411, 20183, 22357, 3709, 2286, 4469, 56, 78, NA, 581544,  X
235, 244.0, 428168, 330571, 22988, 12009, 4954, 6426, 12277, 6637, 26, 60, NA, 824030,  X
236, 245.0, 18665, 17240, 23437, 3526, 19331, 11154, 7459, 4357, 37, 44, NA, 105169,  X
237, 246.0, 3761, 12566, 53853, 682, 24795, 7002, 9885, 5748, 43, 67, NA, 118292,  X
238, 247.0, 3666, 17447, 14146, 8668, 5925, 6311, 5587, 3549, 53, 64, NA, 65299,  X
239, 248.0, 25887, 19603, 48021, 5190, 8199, 8044, 6429, 2182, 70, 94, NA, 123555,  X
240, 249.0, 4958, 24571, 23259, 4092, 11679, 4199, 3618, 5811, 61, 96, NA, 82187,  X
241, 250.0, 610998, 38138, 28359, 6866, 15319, 16053, 7175, 6231, 69, 84, NA, 729139,  X
